benchmark,scenario,metric,baseline,optimized,improvement_percent
hybrid,learned_indexes:contain,p95_latency_ms,4.792375,4.770459,0.457
hybrid,learned_indexes:contain,user_facing_throughput_per_second,255.292896,329.81485,29.191
hybrid,learned_indexes:fuzzy,average_latency_ms,6.176528,6.073142,1.674
hybrid,learned_indexes:fuzzy,p95_latency_ms,7.824584,7.499084,4.16
hybrid,learned_indexes:fuzzy,user_facing_throughput_per_second,159.13867,162.319364,1.999
hybrid,learned_indexes:hybrid,average_latency_ms,5.020385,4.566831,9.034
hybrid,learned_indexes:hybrid,p95_latency_ms,6.177,6.530583,-5.724
hybrid,learned_indexes:hybrid,user_facing_throughput_per_second,196.887643,217.437786,10.437
hybrid,learned_indexes:keyword,average_latency_ms,4.41981,3.044201,31.124
hybrid,learned_indexes:keyword,p95_latency_ms,7.1715,3.930542,45.192
hybrid,learned_indexes:keyword,user_facing_throughput_per_second,220.501831,323.039733,46.502
hybrid,query_optimization:contain,average_latency_ms,3.538972,3.202749,9.501
hybrid,query_optimization:contain,p95_latency_ms,4.531083,4.757167,-4.99
hybrid,query_optimization:contain,user_facing_throughput_per_second,273.659269,304.16028,11.146
hybrid,query_optimization:fuzzy,average_latency_ms,5.840042,5.754033,1.473
hybrid,query_optimization:fuzzy,p95_latency_ms,7.181167,6.904583,3.852
hybrid,query_optimization:fuzzy,user_facing_throughput_per_second,168.166541,170.945,1.652
hybrid,query_optimization:hybrid,average_latency_ms,5.919132,5.065649,14.419
hybrid,query_optimization:hybrid,p95_latency_ms,7.244625,6.3545,12.287
hybrid,query_optimization:hybrid,user_facing_throughput_per_second,166.013527,195.995112,18.06
hybrid,query_optimization:keyword,average_latency_ms,4.129647,3.366254,18.486
hybrid,query_optimization:keyword,p95_latency_ms,5.151459,4.280875,16.9
hybrid,query_optimization:keyword,user_facing_throughput_per_second,238.218442,289.11053,21.364
