source_file,benchmark_type,variant,index,scenario_id,query_id,method,client_count,result_count,successful_request_count,error_count,error_rate,average_latency_ms,p95_latency_ms,user_facing_throughput_per_second,internal_elasticsearch_request_throughput_per_second,document_count,index_store_size_bytes,docker_cpu_average_percent,docker_cpu_maximum_percent,docker_memory_average_percent,docker_memory_maximum_percent,jvm_heap_average_bytes,jvm_heap_maximum_bytes
results/load_test_baseline.json,load_test,load_test,arxiv_papers_baseline,keyword_clients_1:keyword:clients=1,keyword_clients_1,keyword,1,,50144,0,0.0,1.186055,1.55775,835.727455,835.727455,50000,103115792,51.044194,60.22,75.504194,75.53,433608661.419355,724776848.0
results/load_test_baseline.json,load_test,load_test,arxiv_papers_baseline,keyword_clients_5:keyword:clients=5,keyword_clients_5,keyword,5,,156227,0,0.0,1.915133,3.077958,2603.738723,2603.738723,50000,103115792,206.385,208.7,75.491333,75.51,424168237.066667,729339792.0
results/load_test_baseline.json,load_test,load_test,arxiv_papers_baseline,keyword_clients_10:keyword:clients=10,keyword_clients_10,keyword,10,,134586,0,0.0,4.452465,6.399,2243.045457,2243.045457,50000,103115792,198.379355,207.31,75.493226,75.52,416409458.580645,742693280.0
results/load_test_baseline.json,load_test,load_test,arxiv_papers_baseline,contain_clients_1:contain:clients=1,contain_clients_1,contain,1,,52118,0,0.0,1.139851,1.531667,868.624488,868.624488,50000,103115792,45.685806,58.39,75.522258,75.57,419488592.516129,700635544.0
results/load_test_baseline.json,load_test,load_test,arxiv_papers_baseline,contain_clients_5:contain:clients=5,contain_clients_5,contain,5,,189001,0,0.0,1.582759,2.811834,3149.935661,3149.935661,50000,103115792,201.778387,210.17,75.546129,75.58,446044852.903226,747293904.0
results/load_test_baseline.json,load_test,load_test,arxiv_papers_baseline,contain_clients_10:contain:clients=10,contain_clients_10,contain,10,,160682,0,0.0,3.728468,5.5375,2677.958217,2677.958217,50000,103115792,200.406452,209.59,75.572581,75.64,379736871.225806,718654808.0
results/load_test_baseline.json,load_test,load_test,arxiv_papers_baseline,fuzzy_clients_1:fuzzy:clients=1,fuzzy_clients_1,fuzzy,1,,13122,0,0.0,4.550024,5.085417,218.694088,218.694088,50000,103115792,79.344194,83.87,75.631935,75.66,411877029.16129,693192624.0
results/load_test_baseline.json,load_test,load_test,arxiv_papers_baseline,fuzzy_clients_5:fuzzy:clients=5,fuzzy_clients_5,fuzzy,5,,29956,0,0.0,10.010352,45.67675,498.822307,498.822307,50000,103115792,200.662667,203.07,75.624667,75.67,427929180.0,735733672.0
results/load_test_baseline.json,load_test,load_test,arxiv_papers_baseline,fuzzy_clients_10:fuzzy:clients=10,fuzzy_clients_10,fuzzy,10,,28839,0,0.0,20.795131,63.7205,480.574069,480.574069,50000,103115792,201.850667,206.68,75.665,75.69,435970724.8,728113032.0
results/load_test_baseline.json,load_test,load_test,arxiv_papers_baseline,hybrid_clients_10:hybrid:clients=10,hybrid_clients_10,hybrid,10,,21977,0,0.0,27.295161,64.887709,366.193628,855.557084,50000,103115792,197.111935,208.38,75.665484,75.71,443181238.451613,737842384.0
